id,y_true,y_pred,Age,Gender,Occupation
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,0,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,0,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,0,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,0,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,0,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,1,0,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,1,22,m,MSc Electrical Engineering
PP24,1,1,22,m,MSc Electrical Engineering
PP24,0,0,22,m,MSc Electrical Engineering
