id,y_true,y_pred,Age,Gender,Occupation
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
