PP,y_true,y_pred,Age,Gender,Occupation
PP1,1,0,27,m,student
PP1,1,1,27,m,student
PP1,1,1,27,m,student
PP1,1,1,27,m,student
PP1,1,0,27,m,student
PP1,0,1,27,m,student
PP1,1,1,27,m,student
PP1,0,0,27,m,student
PP1,1,0,27,m,student
PP1,0,0,27,m,student
PP1,0,1,27,m,student
PP1,1,1,27,m,student
PP1,0,0,27,m,student
PP1,1,1,27,m,student
PP1,0,0,27,m,student
PP1,1,1,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,1,1,27,m,student
PP1,1,1,27,m,student
PP1,1,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,1,0,27,m,student
PP1,1,1,27,m,student
PP1,1,1,27,m,student
PP1,0,0,27,m,student
PP1,1,0,27,m,student
PP1,0,0,27,m,student
PP1,0,1,27,m,student
PP1,1,1,27,m,student
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP11,1,1,21,m,student
PP11,0,0,21,m,student
PP11,1,1,21,m,student
PP11,0,0,21,m,student
PP11,0,0,21,m,student
PP11,1,1,21,m,student
PP11,0,1,21,m,student
PP11,1,0,21,m,student
PP11,1,0,21,m,student
PP11,1,1,21,m,student
PP11,0,0,21,m,student
PP11,1,1,21,m,student
PP11,0,1,21,m,student
PP11,0,0,21,m,student
PP11,0,1,21,m,student
PP11,1,1,21,m,student
PP11,1,1,21,m,student
PP11,0,0,21,m,student
PP11,1,1,21,m,student
PP11,0,1,21,m,student
PP11,1,1,21,m,student
PP11,1,1,21,m,student
PP11,0,0,21,m,student
PP11,1,1,21,m,student
PP11,0,0,21,m,student
PP11,1,1,21,m,student
PP11,0,0,21,m,student
PP11,0,1,21,m,student
PP11,1,1,21,m,student
PP11,1,1,21,m,student
PP11,0,0,21,m,student
PP11,0,0,21,m,student
PP12,0,0,24,f,student
PP12,0,0,24,f,student
PP12,0,0,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,0,0,24,f,student
PP12,1,1,24,f,student
PP12,0,0,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,0,0,24,f,student
PP12,1,1,24,f,student
PP12,0,0,24,f,student
PP12,1,1,24,f,student
PP12,0,0,24,f,student
PP12,0,0,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,1,1,24,f,student
PP12,0,0,24,f,student
PP12,0,1,24,f,student
PP12,0,0,24,f,student
PP12,1,1,24,f,student
PP12,0,0,24,f,student
PP12,0,0,24,f,student
PP12,0,0,24,f,student
PP12,0,0,24,f,student
PP12,1,1,24,f,student
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,1,0,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,0,1,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,1,1,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP13,0,0,26,m,student (Phd?)
PP14,1,1,26,m,student
PP14,0,0,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP14,0,0,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP14,0,1,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP14,0,0,26,m,student
PP14,0,0,26,m,student
PP14,0,0,26,m,student
PP14,0,0,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP14,0,0,26,m,student
PP14,1,1,26,m,student
PP14,1,0,26,m,student
PP14,1,1,26,m,student
PP14,0,0,26,m,student
PP14,0,0,26,m,student
PP14,0,1,26,m,student
PP14,1,1,26,m,student
PP14,0,0,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP14,0,0,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP14,1,1,26,m,student
PP15,0,0,24,m,student
PP15,1,1,24,m,student
PP15,1,1,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,1,1,24,m,student
PP15,1,1,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,1,1,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,1,1,24,m,student
PP15,0,1,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,1,1,24,m,student
PP15,1,1,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,1,1,24,m,student
PP15,0,0,24,m,student
PP15,1,1,24,m,student
PP15,1,0,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,0,0,24,m,student
PP15,1,1,24,m,student
PP15,1,1,24,m,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,0,0,27,f,student
PP16,1,0,27,f,student
PP16,1,0,27,f,student
PP16,1,1,27,f,student
PP16,0,0,27,f,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,0,0,27,f,student
PP16,1,0,27,f,student
PP16,0,0,27,f,student
PP16,1,1,27,f,student
PP16,0,0,27,f,student
PP16,0,0,27,f,student
PP16,0,0,27,f,student
PP16,1,1,27,f,student
PP16,1,0,27,f,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,0,0,27,f,student
PP16,0,1,27,f,student
PP16,0,0,27,f,student
PP16,0,0,27,f,student
PP16,0,0,27,f,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,1,1,27,f,student
PP16,0,0,27,f,student
PP17,0,0,38,f,PhD candidate
PP17,1,1,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,1,0,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,0,1,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,1,1,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,0,0,38,f,PhD candidate
PP17,1,1,38,f,PhD candidate
PP17,0,1,38,f,PhD candidate
